fn | definer | anon-executable(modelled) | PUBLIC | anon | latest def
generate_rent_reminders | True | False | False | False | supabase/migrations/00000000000080_rental_phase4_arrears.sql:999
generate_residence_credential_on_payment | True | True | True | True | supabase/migrations/00000000000070_mint_guard_deceased_check.sql:28
generate_resident_on_birth_approval | True | True | True | True | supabase/migrations/00000000000059_task14a_civil_payment_and_preconditions.sql:118
get_civil_kpis | True | False | False | False | supabase/migrations/00000000000067_task14c_civil_kpis.sql:13
get_credential_kpis | True | False | False | False | supabase/migrations/00000000000057_task12b_credential_kpis.sql:39
get_credential_live_status | True | False | False | False | supabase/migrations/00000000000000_baseline.sql:1323
get_rent_account_ledger_summary | True | False | False | False | supabase/migrations/00000000000087_rental_review_round4_fixes.sql:457
get_rental_arrears_aging_report | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:581
get_rental_billing_collection_report | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:543
get_rental_checkpoint_activity_report | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:688
get_rental_plan_compliance_report | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:646
get_rental_reconciliation_report | True | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:724
get_service_kpis | True | False | False | False | supabase/migrations/00000000000062_task14b_payment_issuance_and_preconditions.sql:211
get_user_woreda_id | True | False | False | False | supabase/migrations/00000000000000_baseline.sql:1335
guard_arrears_plan_immutable_fields | True | True | True | True | supabase/migrations/00000000000082_rental_phase4_review_fixes_2.sql:347
guard_arrears_plan_maker_checker | True | True | True | True | supabase/migrations/00000000000088_rental_review_round5_fixes.sql:420
guard_console_role_assignment | False | True | True | True | supabase/migrations/00000000000012_enforce_console_rbac.sql:94
guard_manual_occupancy_status_change | True | True | True | True | supabase/migrations/00000000000072_rental_phase1_integrity_hardening.sql:74
guard_rent_charge_immutable_fields | True | True | True | True | supabase/migrations/00000000000076_rental_phase2_financial_core.sql:254
guard_rental_payment_insert | True | True | True | True | supabase/migrations/00000000000087_rental_review_round4_fixes.sql:556
guard_rental_payment_status_change | True | True | True | True | supabase/migrations/00000000000086_rental_review_round3_fixes.sql:67
guard_settlement_amount_matches_charge | True | True | True | True | supabase/migrations/00000000000079_rental_phase3_review_fixes.sql:71
household_pii_sync | True | True | True | True | supabase/migrations/00000000000044_task6_household_rent_national_id_pii.sql:138
is_active_app_user | True | False | False | False | supabase/migrations/00000000000002_credential.sql:185
is_super_admin | True | False | False | False | supabase/migrations/00000000000011_status_check_admin_helpers.sql:15
is_tenant_admin | True | False | False | False | supabase/migrations/00000000000011_status_check_admin_helpers.sql:25
log_workflow_status_history | True | True | True | True | supabase/migrations/00000000000058_task14a_civil_registration_fsm.sql:63
log_workflow_transition | True | True | True | True | supabase/migrations/00000000000025_workflow_engine.sql:350
luhn_check_digit | False | True | True | True | supabase/migrations/00000000000002_credential.sql:22
mark_template_draft_dirty | False | True | True | True | supabase/migrations/00000000000010_id_card_template_draft.sql:93
mirror_household_gps_to_location | True | True | True | True | supabase/migrations/00000000000053_task11_review_round2.sql:54
mirror_location_gps_to_household | True | True | True | True | supabase/migrations/00000000000049_task11_review_hardening.sql:88
my_national_id_blind_index | True | False | False | False | supabase/migrations/00000000000044_task6_household_rent_national_id_pii.sql:103
my_phone_blind_index | True | False | False | False | supabase/migrations/00000000000023_pii_encryption.sql:394
national_id_blind_index | True | False | False | False | supabase/migrations/00000000000044_task6_household_rent_national_id_pii.sql:78
normalize_phone | False | False | False | False | supabase/migrations/00000000000023_pii_encryption.sql:213
payment_amount_sync | True | True | True | True | supabase/migrations/00000000000059_task14a_civil_payment_and_preconditions.sql:42
payment_reconciliation_exception_amount_sync | True | True | True | True | supabase/migrations/00000000000078_rental_phase3_settlement.sql:253
phone_blind_index | True | False | False | False | supabase/migrations/00000000000023_pii_encryption.sql:294
pii_encryption_status | True | False | False | False | supabase/migrations/00000000000044_task6_household_rent_national_id_pii.sql:192
pii_root_key | True | False | False | False | supabase/migrations/00000000000023_pii_encryption.sql:148
pin_credential_identity_fields | False | True | True | True | supabase/migrations/00000000000046_task10_credential_lifecycle.sql:31
pin_receipt_verification_token | False | True | True | True | supabase/migrations/00000000000013_receipt_verification.sql:79
pin_tenant_role_woreda_id | False | True | True | True | supabase/migrations/00000000000042_task13_woreda_pin_and_move_hardening.sql:43
pin_vital_event_resident | False | True | True | True | supabase/migrations/00000000000033_task2_followup_pin_and_rental_scope.sql:60
prevent_last_super_admin_lockout | False | True | True | True | supabase/migrations/00000000000012_enforce_console_rbac.sql:185
provision_rent_account | True | False | False | False | supabase/migrations/00000000000087_rental_review_round4_fixes.sql:115
publish_id_card_template | False | False | False | False | supabase/migrations/00000000000010_id_card_template_draft.sql:120
rate_limit_hit | True | False | False | False | supabase/migrations/00000000000022_rate_limit.sql:46
record_rental_checkpoint | True | True | True | True | supabase/migrations/00000000000085_rental_review_round2_fixes.sql:686
refresh_rent_ledger_statuses | True | False | False | False | supabase/migrations/00000000000081_rental_phase4_review_fixes.sql:527
release_arrears_plan_charges | True | True | True | True | supabase/migrations/00000000000081_rental_phase4_review_fixes.sql:592
rent_charge_amount_sync | True | True | True | True | supabase/migrations/00000000000076_rental_phase2_financial_core.sql:317
rent_payment_settlement_amount_sync | True | True | True | True | supabase/migrations/00000000000078_rental_phase3_settlement.sql:188
rent_rate_history_amount_sync | True | True | True | True | supabase/migrations/00000000000076_rental_phase2_financial_core.sql:300
rent_reminder_amount_sync | True | True | True | True | supabase/migrations/00000000000080_rental_phase4_arrears.sql:966
rental_eligibility | True | True | False | True | supabase/migrations/00000000000031_rental_eligibility.sql:55
rental_occupancy_amount_sync | True | True | True | True | supabase/migrations/00000000000023_pii_encryption.sql:573
rental_occupancy_request_amount_sync | True | True | True | True | supabase/migrations/00000000000023_pii_encryption.sql:593
rental_period_month_index | False | False | False | False | supabase/migrations/00000000000083_rental_phase5_checkpoint.sql:532
resident_pii_sync | True | True | True | True | supabase/migrations/00000000000044_task6_household_rent_national_id_pii.sql:122
